Product Name,Product Price,Product Camera,Product RAM,Product ROM,Product Display,Product Processor,Product Color,Product Rating
realme P3 5G,18499,50MP + 2MP | 16MP Front Camera,8 GB RAM,256,16.94 cm (6.67 inch) Full HD+ Display,6 Gen 4,Space Silver,4.4
realme 14x 5G,14999,50MP Rear Camera | 8MP Front Camera,6 GB RAM,128,16.94 cm (6.67 inch) HD+ Display,Dimensity 6300,Crystal Black,4.3
realme 15 Pro 5G,38999,50MP + 50MP | 50MP Front Camera,12 GB RAM,512,17.27 cm (6.8 inch) Display,Snapdragon 7 Gen 4,Flowing Silver,4.3
realme C75 5G,13490,32MP Rear Camera | 8MP Front Camera,6 GB RAM,128,16.94 cm (6.67 inch) HD+ Display,Dimensity 6300,Midnight Lily,4.4
realme 15 Pro 5G,31999,50MP + 50MP | 50MP Front Camera,8 GB RAM,128,17.27 cm (6.8 inch) Display,Snapdragon 7 Gen 4,Velvet Green,4.3
realme P3 Pro 5G,23999,50MP + 2MP | 16MP Front Camera,12 GB RAM,256,17.35 cm (6.83 inch) Display,7s Gen 3 Mobile Platform,Nebula Glow,4.4
realme P3 Pro 5G,18999,50MP + 2MP | 16MP Front Camera,8 GB RAM,128,17.35 cm (6.83 inch) Display,7s Gen 3 Mobile Platform,Saturn Brown,4.4
realme P3 Ultra 5G,21999,50MP + 8MP | 16MP Front Camera,8 GB RAM,128,17.35 cm (6.83 inch) Display,Dimensity 8350 Ultra,Glowing Lunar White,4.4
realme 15 Pro 5G,35999,50MP + 50MP | 50MP Front Camera,12 GB RAM,256,17.27 cm (6.8 inch) Display,Snapdragon 7 Gen 4,Silk Purple,4.3
realme P4 Pro 5G,23999,50MP + 8MP | 50MP Front Camera,8 GB RAM,128,17.27 cm (6.8 inch) Display,Snapdragon 7 Gen 4 Mobile,Birch Wood,4.4
realme 15x 5G,17999,50MP Rear Camera | 50MP Front Camera,8 GB RAM,128,17.27 cm (6.8 inch) Display,Dimensity 6300 6nm Octa-core chipset,Aqua Blue,4.3
realme 15x 5G,17999,50MP Rear Camera | 50MP Front Camera,8 GB RAM,128,17.27 cm (6.8 inch) Display,Dimensity 6300 6nm Octa-core chipset,Maroon Red,4.3
realme C75 5G,13997,32MP Rear Camera | 8MP Front Camera,6 GB RAM,128,16.94 cm (6.67 inch) HD+ Display,Dimensity 6300,Lily White,4.4
realme C63 5G,10999,32MP Rear Camera | 8MP Front Camera,6 GB RAM,128,16.94 cm (6.67 inch) HD+ Display,Dimensity 6300,Forest Green,4.5
realme P3 5G,16999,50MP + 2MP | 16MP Front Camera,8 GB RAM,128,16.94 cm (6.67 inch) Full HD+ Display,6 Gen 4,Nebula Pink,4.4
